user,review_description,rating,thumbsUpCount,review_date,developer_response,developer_response_date
Stephan Ashkenazy,The interface is so mot intuitive....,3,0,2022-07-28 15:17:32,,
Allan Lambert,"I'm only able to play 3 songs then it stops streaming all songs. When I press the play button nothing happens. To fix, I have to restart the phone, logg out then in, or reinstall the apps. When either of those things are done, it still only plays 3 songs then stops playing again. This needs to be fixed or I'll switch to another service. I have a Samsung galaxy s22 ultra.",1,1,2022-07-28 14:49:01,,
Toyosi Dosumu,"In the past I rated Spotify 5 stars. But for weeks now I have been having issues with the app. I'm using a premium account and when I click on a song it would show it's playing but it won't play any music, it loads I can see the icon picture and lyrics but its not playing the song. If it decides to play after 2 songs it stops again for hours, i would click play but it won't play out my songs. I have updated the app still the same thing.It makes me quite sad cause I love music. I hope they fix it",2,1,2022-07-28 14:22:07,,
Marie Berezhna,"Generally a good service, but! I'm a traveler and digital nomad so I change my location quite often and in order to continue using Spotify I have to change my country in the settings if my account. Can't we make it automatically? It's quite outdated to bind people to an adress. While I can understand that there might be payment/currency issues, but even on the free version it's happening as well.",4,0,2022-07-28 13:00:51,,
Nico Chan,App keeps on crashing no matter how many times I reinstall it. Apps that require a paid subscription and when you are unable to make use of it are really a bummer.,1,1,2022-07-28 12:59:02,,
M,The UI is atrocious. Clearly no one at spotify uses this or does any tests whatsoever. Where is everything? Literally every other Music app has a better UI. My Suggestion: Make it not atrocious. It also crashes randomly.,1,3,2022-07-28 12:24:51,"Hey, thanks for the feedback. If you have specific suggestions on how to improve it, feel free to add them to our ‘Ideas Board’ where others can show their support. Head to http://community.spotify.com > Menu > Ideas > Idea Submissions. Others will then be able to vote or add to the conversation to show their support.",2020-09-17 08:42:08
ghost,"I love to use it for music but after my ""30 minutes of ad free music"" ends I get an ad after every 2-3 songs unless I change my playlist. I can also play any song w/o shuffle on any other device rather than on my phone, which, imo, is quite stupid. It would be nice if they re-added that feature on phones w/o having to buy premium. All that aside, it's a good app to listen to music on if you have premium",3,0,2022-07-28 07:10:57,,
Sri Tej Koduru,Albums aren't loading. UI looks good. Please fix albums aren't loading,1,0,2022-07-28 06:26:44,,
Hope Underwood-Mosley,There's always some kind of technical difficulty happening within the app but usually quick to fix em. Other than that it's a great app for music. (Unless they keep removing stuff you like),3,0,2022-07-28 06:24:54,,
Skylar Artemis,I dont pay for many services but Spotify Premium is worth it to me. Ive been able to rediscover music I had forgotten about and can always find a playlist to suit my mood.,5,0,2022-07-28 05:54:15,,
Mike Willcox,"My style of music, I get what I'm looking for and quickly",5,1,2022-07-28 02:33:18,,
Akhsanul Farhan,"I can't open the play-pause-next button and song previewed anymore but the song still played, please fix this.",1,0,2022-07-28 01:01:44,,
rough statue,"Not only do you not get to listen to any one particular song when you so wish to, it also has ads. The ads aren't a problem, because otherwise they wouldn't even offer free plans. The ads with the constant shuffle? Total garbage meant to ruin your day",2,0,2022-07-27 22:33:16,,
beatyz2,"Obvious stuff, they don't care about fixing long standing problems of their app on androids. I would appreciate if they could at least post the the version number of the last version that actually worked, so I wouldn't have to scour the internet to see what I can do to get a Spotify app that isn't half broken. But I guess that would also require admitting fault which I can only assume their attitude toward is ""why bother”",3,0,2022-07-27 22:32:01,,
Inunnguaq Mathiassen,"This app has not worked for 2 months, can't open the app, only way to open it was long press the app then click the liked songs but then if you press the home button on the Spotify app then it crashes. For 2 months! Tried reinstall, clear data nothing works. Fix the app",1,0,2022-07-27 20:33:20,,
Munir Awelkher,Amazing user experience with plenty of options on music/podcasts,5,0,2022-07-27 20:12:58,,
Emornifi,Ads just ruin it. Especially the AD that says enjoy the next 30mins add free. That's literally an ad saying there's no ads. Geez who doesn't have something that blocks ads nowadays? Going back to my ad blocker site. Not snitchin. Annoying app for me I'm sorry.,1,0,2022-07-27 17:55:04,,
Oskar Sef,"Yeah what is to add, best app to listen to music. Premium users on family plan, which is quite reasonably priced. Appreciate the music quality options for download/streaming.",5,0,2022-07-27 17:35:30,,
Un1verse,This app is so bad just busy to show huge amount of ads after a nano second even i cant play a single song because of lengthy ads. its a waste of time to use this application . youtube and other apps are better than this app. Thank you. Ads is not everything spotify has to give skip button or something like that from which we can skip ads. this app making me angry because its wasting my time. im uninstalling this app and installing again soundcloud thats it.,1,7,2022-07-27 17:27:59,,
MF Horan,"Songs are not playing unless I close the app, open it and play the song again. I have to repeat the process for each song. Rating 1 star for you to take actions quickly, it's been a week.",1,4,2022-07-27 17:14:09,,
Connor Parkinson,"Didn't realize how amazing Spotify is until I used Amazon Music (free trial). This app is far, far superior to Amazon Music. Very intuitive, quick, and does exactly what you want it to.",5,0,2022-07-27 16:50:08,,
Sean Michuki,I used to love this app alot and i had considered upgrading to premium.. But these days its always acting up.. You listen to two songs then it doesn't play the next.. I've tried everything from rebooting my phone to uninstalling and reinstalling but it isn't budging... To be honest its quite irritating and frustrating.. I give it 2 stars for the respect i have for the app.. Please look into the matter,2,2,2022-07-27 16:07:57,,
Sahil Mohammad,Please Fix the goddamn UI. It is getting frustrating to you use the app.,3,1,2022-07-27 15:39:22,,
brad atkins,Big shoes to fill lol. My suggestion would be to keep a functional non expiring app that is free sure throw in adds you deserve to make money too. I rarely have the luxury of purchasing anything above my immediate required needs like many but when I can and I've given this a lot of thought over the years I will go with what I trust like sure I want music without ads so I would stick with the app I already have and trust but I wouldn't stick with a free app if I have to redownload it every week.,3,0,2022-07-27 14:54:58,,
Kristjan Vendelin,Craftmanship from USSR and a comic book villain capitalist ruling over it. Everything is made hard. Shuffle button behind a pay wall but why would you pay if the music keeps stopping at random and only way to fix it would be restarting the phone? If they want to sell the shuffle button they should at least show it in free version (grayed out for example). Not let people search the internet IF there even is an option,1,0,2022-07-27 13:38:09,,
Gus Hayabusa,"Most bugs and requests I have reported to Spotify have been fixed and developed. This is how developers should react to feedback. One bug though remains: A downloading notification for Spotify playlists, remains (when playlist is automatically renewed) even if the download is over and the only way to get rid of it is to tap on it thus opening the app. Then it immediately goes away. Ps. How about a new UI theme choice? :!-)",4,24,2022-07-27 11:13:45,,
Arpit Mishra,"Spotify is a great service,but the app gets buggy sometimes. Managing podcasts can be a chore also, but overall it's pretty good. Miserable experience in the last week. Can't play a new songs for more than minutes, it freezes for no reason. Please fix this it's ruining the whole experience",1,6,2022-07-27 10:44:16,,
"MORENO,CELEDONIO R. ll","songs often get stuck at 0:00 basically it didn't even play. i tried uninstalling and reinstalling it a quiet few times but it still happens. pls i beg you to fix this immediately, this app is my coping mechanism.",1,0,2022-07-27 09:19:52,,
Pixelated,"There are other apps too stop pretending like you're the only one out there spotify. Even if that doesn't work I can just pirate music. Other than you insisting that ""you shall bear with the ads or perish"" your service is actually pretty good, both sound quality and ui wise very pog.",4,0,2022-07-27 06:59:37,,
